"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/raw_swap_sys_io.csv --raw --swap --sys --io 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"raw","swap",,"system",,"io/total",
"raw","used","free","int","csw","read","writ"
0,1835008,1021571072,1363.789,4997.301,5.339,35.602
0,1835008,1021571072,1398,6229,0,0
0,1835008,1021571072,1182,3303,0,0
0,1835008,1021571072,1303,4870,194,4
0,1835008,1021571072,1316,5387,188,4
0,1835008,1021571072,2595,35496,0,0
0,1835008,1021571072,1298,3108,0,44
0,1835008,1021571072,950,2251,0,0
0,1835008,1021571072,889,1520,0,0
0,1835008,1021571072,702,1174,0,0
0,1835008,1021571072,974,2409,0,0
0,1835008,1021571072,843,2402,0,24
0,1835008,1021571072,685,1161,0,0
0,1835008,1021571072,1723,5390,0,1658
0,1835008,1021571072,723,1207,0,56
0,1835008,1021571072,946,2405,0,0
0,1835008,1021571072,805,2447,0,0
0,1835008,1021571072,845,2268,0,44
0,1835008,1021571072,713,1237,0,0
0,1835008,1021571072,950,2165,0,0
0,1835008,1021571072,914,2556,0,0
0,1835008,1021571072,848,1921,0,0
0,1835008,1021571072,888,1881,0,0
0,1835008,1021571072,744,1262,0,36
0,1835008,1021571072,720,1253,0,0
0,1835008,1021571072,975,2643,0,0
0,1835008,1021571072,723,1263,0,0
0,1835008,1021571072,941,2482,0,28
0,1835008,1021571072,746,1344,0,42
0,1835008,1021571072,896,1975,0,532
0,1835008,1021571072,1345,3617,0,0
0,1835008,1021571072,842,1416,0,0
0,1835008,1021571072,906,2530,0,0
0,1835008,1021571072,1589,3073,0,0
0,1835008,1021571072,1676,2920,0,40
0,1835008,1021571072,2098,5110,0,0
0,1835008,1021571072,1723,3117,0,0
0,1835008,1021571072,1991,4141,0,0
0,1835008,1021571072,1701,2885,0,0
0,1835008,1021571072,1599,2805,0,36
0,1835008,1021571072,2171,4957,0,390
0,1835008,1021571072,1956,3815,0,0
0,1835008,1021571072,1891,4177,0,0
0,1835008,1021571072,1746,2890,0,0
0,1835008,1021571072,1655,2832,0,0
0,1835008,1021571072,1973,4205,0,20
0,1835008,1021571072,1659,2942,0,0
0,1835008,1021571072,2004,4217,0,0
0,1835008,1021571072,1646,2791,0,0
0,1835008,1021571072,1584,2796,0,0
0,1835008,1021571072,3186,29517,0,250
0,1835008,1021571072,2079,10025,0,46
0,1835008,1021571072,1927,4848,0,0
0,1835008,1021571072,1036,3605,0,0
0,1835008,1021571072,688,1210,0,0
0,1835008,1021571072,993,2606,0,0
0,1835008,1021571072,684,1200,0,26
0,1835008,1021571072,897,2459,0,0
0,1835008,1021571072,847,1889,0,0
0,1835008,1021571072,826,1371,0,0
0,1835008,1021571072,983,2555,0,0
0,1835008,1021571072,1896,5912,0,1512
0,1835008,1021571072,901,2479,0,0
0,1835008,1021571072,1011,2171,0,44
0,1835008,1021571072,761,1353,0,36
0,1835008,1021571072,1084,2726,0,14
0,1835008,1021571072,970,1611,0,0
0,1835008,1021571072,1009,2702,0,0
0,1835008,1021571072,851,1686,0,0
0,1835008,1021571072,633,1148,0,0
0,1835008,1021571072,995,2656,0,24
0,1835008,1021571072,947,1602,0,10
0,1835008,1021571072,882,2428,0,0
0,1835008,1021571072,843,1307,0,0
0,1835008,1021571072,740,1355,0,0
0,1835008,1021571072,1175,3617,0,26
0,1835008,1021571072,699,1246,0,0
0,1835008,1021571072,909,2473,0,0
0,1835008,1021571072,664,1160,0,0
0,1835008,1021571072,730,1240,0,0
0,1835008,1021571072,896,2522,0,42
0,1835008,1021571072,697,1214,0,0
0,1835008,1021571072,1189,3629,0,510
0,1835008,1021571072,801,1329,0,0
0,1835008,1021571072,658,1195,0,0
0,1835008,1021571072,918,2455,0,0
0,1835008,1021571072,1014,2331,0,8
0,1835008,1021571072,913,2475,0,0
